question;option1;option2;option3;correct
K platnému usnesení zastupitelstva hlavního města Prahy je třeba;souhlasu nadpoloviční většiny přítomných členů zastupitelstva, je-li přítomna alespoň polovina všech členů zastupitelstva hlavního města Prahy;souhlasu nadpoloviční většiny přítomných členů zastupitelstva, je-li přítomna alespoň jedna třetina všech členů zastupitelstva hlavního města Prahy;souhlasu nadpoloviční většiny všech členů zastupitelstva hlavního města Prahy; C
Zastupitelstvu hlavního města Prahy je vyhrazeno;stanovit výši odměny uvolněných členů rady hlavního města Prahy;určovat funkce, pro které budou členové zastupitelstva hlavního města Prahy uvolněni;stanovit počet členů rady hlavního města Prahy; B
Zastupitelstvu hlavního města Prahy je vyhrazeno;zřizovat a rušit výbory zastupitelstva hlavního města Prahy a volit jejich členy;zřizovat a rušit odbory Magistrátu hlavního města Prahy;zřizovat a rušit zvláštní orgány hlavního města Prahy a volit jejich členy; A
Zastupitelstvu hlavního města Prahy je vyhrazeno vydávat;nařízení hlavního města Prahy;obecně závazné vyhlášky hlavního města Prahy;právní předpisy hlavního města Prahy; B
Práv a povinností člena zastupitelstva hlavního města Prahy nabývá člen zastupitelstva hlavního města Prahy;složením slibu;dnem konání prvního zasedání zastupitelstva hlavního města Prahy, jehož se po svém zvolení zúčastní;zvolením; C
Mandát člena zastupitelstva hlavního města Prahy vzniká;složením slibu;zvolením;rozhodnutím volební komise; B
Právní předpis hlavního města Prahy může nabýt účinnosti nejdříve;vyhlášením ve Sbírce  právních předpisů  územních samosprávných  celků a některých správních úřadů, je-li pro to důvod spočívající v ohrožení života, zdraví, majetku nebo životního prostředí;počátkem patnáctého dne následujícího po dni jeho vyhlášení ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů;dnem stanoveným příslušným orgánem hlavního města Prahy, který právní předpis schválil; A
Právní předpis hlavního města Prahy nabývá účinnosti;dvacátým dnem následujícím po dni jeho vyhlášení ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, pokud v něm není stanoven pozdější počátek účinnosti;"počátkem patnáctého dne následujícího po dni jeho vyhlášení ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, pokud není stanovena účinnost pozdější. Vyžaduje-li to naléhavý obecný zájem, lze výjimečně stanovit dřívější počátek jeho účinnosti, nejdříve však počátkem dne následujícího po dni jeho vyhlášení; je-li pro to důvod spočívající v ohrožení života, zdraví, majetku nebo životního prostředí, lze stanovit, že právní předpis nabude účinnosti vyhlášením";desátým dnem následujícím po dni jeho vyhlášení ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, pokud v něm není stanoven pozdější počátek účinnosti; B
Vyhlášení právního předpisu hlavního města Prahy se provede tak, že se právní předpis zveřejní;ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů;ve Sbírce právních předpisů hlavního města Prahy;ve Sbírce zákonů České republiky; A
Pokud městská část hlavního města Prahy nezveřejní záměr prodat, směnit, darovat, pronajmout nebo poskytnout jako výpůjčku nemovitý majetek hlavního města Prahy, je právní jednání;neplatné;neplatné za předpokladu, že ten, komu zákon toto právo přiznává, uplatní námitku neplatnosti právního jednání;platné; A
Statut hlavního města Prahy se vydává;nařízením hlavního města Prahy;vyhláškou Ministerstva vnitra;obecně závaznou vyhláškou hlavního města Prahy; C
O odvoláních proti rozhodnutím městských částí hlavního města Prahy o uložení pokuty právnické osobě nebo podnikateli, kteří neudržují čistotu a pořádek na jimi užívaném pozemku, rozhoduje;rada hlavního města Prahy;primátor hlavního města Prahy;Magistrát hlavního města Prahy; C
Hlavní město Praha se při výkonu samostatné působnosti řídí;zákony, jinými právními předpisy a v jejich mezích též usneseními vlády a směrnicemi ústředních správních úřadů;zákony a jinými právními předpisy;pouze zákonem o hlavním městě Praze a Statutem hlavního města Prahy; B
Názvy městských částí hlavního města Prahy stanoví;zákon o hlavním městě Praze;Statut hlavního města Prahy;vyhláška Ministerstva vnitra vydaná na základě zákona o územním členění státu; B
Občanem hlavního města Prahy je;fyzická osoba, která je hlášena k trvalému pobytu v hlavním městě Praze a je státním občanem ČR;fyzická osoba, která je hlášena k trvalému pobytu v hlavním městě Praze, je státním občanem ČR a dosáhla věku 18 let;fyzická osoba, která je hlášena k trvalému pobytu na území hlavního města Prahy; A
Orgány městské části hlavního města Prahy jsou;zastupitelstvo městské části, rada městské části, starosta městské části, úřad městské části a komise rady městské části, je-li jim svěřen výkon státní správy;zastupitelstvo městské části, rada městské části, starosta městské části, úřad městské části, zvláštní orgány městské části a komise rady městské části, je-li jim svěřen výkon státní správy;zastupitelstvo městské části, rada městské části, starosta městské části, úřad městské části a zvláštní orgány městské části; C
Městské části hlavního města Prahy;v rozsahu stanoveném zákonem a Statutem vystupují v právních vztazích svým jménem a nesou odpovědnost z těchto vztahů vyplývající;jednají v záležitostech svěřených jim zákonem a v mezích zákona Statutem za hlavní město Prahu;jsou právnickými osobami; A
Hlavní město Praha se podle zákona o hlavním městě Praze člení na;městské obvody;městské části;správní obvody; B
Je-li usnesení, rozhodnutí nebo opatření orgánu městské části hlavního města Prahy v přenesené působnosti v rozporu se zákonem nebo jiným právním předpisem, usnesením vlády, směrnicí ústředního správního úřadu, zruší jej;rada hlavního města Prahy;Magistrát hlavního města Prahy;primátor hlavního města Prahy; B
Zastupitelstvo kraje rozhoduje ve věcech;patřících do přenesené působnosti;"patřících do samostatné působnosti; ve věcech přenesené působnosti rozhoduje, jen stanoví-li tak zákon";patřících do samostatné nebo přenesené působnosti; B
K přijetí usnesení, rozhodnutí nebo k volbě zastupitelstva kraje je potřeba souhlasu;nadpoloviční většiny všech členů zastupitelstva kraje;všech přítomných členů zastupitelstva kraje;nadpoloviční většiny přítomných členů zastupitelstva kraje; A
Zastupitelstvu kraje je vyhrazeno rozhodovat;pouze o otázkách, které si vyhradí;jen o otázkách, které jsou mu vyhrazeny zákonem;o otázkách, které jsou mu vyhrazeny zákonem a o ostatních otázkách samostatné působnosti, které nejsou vyhrazeny radě, pokud si to zastupitelstvo kraje vyhradí; C
Členové zastupitelstva kraje jsou voleni;Sborem krajských volitelů, který je volen občany obce ve volbách do zastupitelstva obce;ve volbách do zastupitelstev krajů oprávněnými voliči podle zvláštního zákona;občany České republiky ve volbách do Poslanecké sněmovny Parlamentu České republiky; B
Mandát člena zastupitelstva kraje vzniká;složením slibu člena zastupitelstva kraje;zvolením;písemným souhlasem; B
Člen zastupitelstva kraje je povinen;zúčastňovat se zasedání zastupitelstva kraje, popřípadě zasedání jiných orgánů kraje, je-li jejich členem;zúčastňovat se zasedání zastupitelstva kraje, popřípadě zasedání jiných orgánů kraje, přičemž mu nikdo není oprávněn ukládat úkoly;zúčastňovat se zasedání zastupitelstva kraje, popřípadě zasedání jiných orgánů kraje, je-li jejich členem, a to minimálně 4 x ročně; A
Záměr prodat, směnit nebo darovat nemovitý majetek, pronajmout jej anebo poskytnout jako výpůjčku je kraj povinen;zveřejnit jej po dobu nejméně 30 dnů před rozhodnutím v příslušném orgánu kraje vyvěšením na úřední desce krajského úřadu, aby se k němu mohli zájemci vyjádřit a předložit své nabídky;nabídnout k přednostnímu využití obcím v kraji;nabídnout k přednostnímu využití organizačním složkám kraje; A
Právní jednání kraje schvaluje;vždy zastupitelstvo kraje;"zastupitelstvo kraje nebo rada kraje, jedná-li se o právní jednání, která vyžadují schválení tímto orgánem; pokud tato právní jednání neschválí příslušný orgán kraje, jsou tato právní jednání neplatná, přičemž k neplatnosti právních jednání z tohoto důvodu přihlédne soud i bez návrhu";vždy hejtman; B
Hospodaření s majetkem kraje a jeho správa patří;do samostatné působnosti kraje, stanoví-li tak zastupitelstvo kraje;do přenesené působnosti kraje, stanoví-li tak rada kraje;do samostatné působnosti kraje; C
Krajský úřad v přenesené působnosti kontroluje v potřebném rozsahu a s využitím prostředků, které zákon dává k dispozici:;činnost orgánů obcí při výkonu přenesené působnosti;činnost orgánů obcí při výkonu samostatné působnosti;činnost orgánů obcí při výkonu samostatné i přenesené působnosti; A
Při vydání obecně závazné vyhlášky v rámci výkonu samostatné působnosti se kraj řídí;zákonem;zákonem, jinými právními předpisy a usneseními vlády;zákonem a jinými právními předpisy; A
Při vydání nařízení kraje v rámci výkonu přenesené působnosti se orgány kraje řídí;zákony a usneseními vlády;zákony a jinými právními předpisy vydanými vládou a ústředními správními úřady;pouze zákony; B
Právo volit do zastupitelstva kraje má za podmínek stanovených zvláštním zákonem;občan kraje, který dosáhl věku 18 let a vlastní na území obce nemovitost;občan České republiky, který dosáhl věku 18 let a je přihlášen k trvalému pobytu v některé obci v územním obvodu kraje;občan kraje, který dosáhl věku 18 let a dále fyzická osoba, která dosáhla věku 18 let a vlastní na území obce nemovitost; B
Nestanoví-li zákon jinak, může pro výkon své samostatné působnosti kraj;zakládat a zřizovat právnické osoby a organizační složky kraje;zakládat a zřizovat právnické osoby a organizační složky státu;zakládat a zřizovat právnické osoby a organizační složky obce; A
Nařízení kraje vydává;zastupitelstvo kraje;hejtman kraje;rada kraje; C
Právní předpis kraje nabývá účinnosti;dnem přijetí příslušným orgánem kraje;"počátkem patnáctého dne následujícího po dni jeho vyhlášení ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, pokud není stanovena účinnost pozdější. Vyžaduje-li to naléhavý obecný zájem, lze výjimečně stanovit dřívější počátek jejich účinnosti, nejdříve však počátkem dne následujícího po dni jejich vyhlášení; je-li pro to důvod spočívající v ohrožení života, zdraví, majetku nebo životního prostředí, lze stanovit, že právní předpis nabude účinnosti vyhlášením.";dnem podpisu hejtmanem kraje; B
Občan kraje je oprávněn;vyjadřovat se k návrhu rozpočtu kraje a k závěrečnému účtu kraje;schvalovat rozpočet kraje;rozhodovat o územním plánu kraje; A
Obecně závaznou vyhlášku kraje schvaluje;hejtman kraje;krajský úřad;zastupitelstvo kraje; C
Obecně závaznou vyhláškou kraje lze ukládat fyzickým a právnickým osobám povinnosti,;rozhodne-li tak krajský úřad;usnese-li se o tom rada kraje;jen stanoví-li tak zákon; C
Přenesenou působnost v kraji vykonává;krajský úřad, s výjimkou věcí, které jsou zákonem svěřeny radě kraje, zastupitelstvu kraje nebo zvláštnímu orgánu kraje;rada kraje, s výjimkou věcí, které jsou zákonem svěřeny zastupitelstvu kraje;pouze krajský úřad; A
Krajský úřad;přezkoumává rozhodnutí vydaná orgány obcí ve správním řízení, pokud není zákonem tato působnost svěřena zvláštnímu orgánu kraje nebo zákon nestanoví jinak;přezkoumává jen rozhodnutí vydaná ve správním řízení orgány obcí s pověřeným obecním úřadem a obcí s rozšířenou působností, pokud není zákonem tato působnost svěřena zvláštnímu orgánu kraje nebo zákon nestanoví jinak;přezkoumává jen rozhodnutí vydaná orgány obcí s rozšířenou působností ve správním řízení, pokud není zákonem tato působnost svěřena zvláštnímu orgánu kraje nebo zákon nestanoví jinak; A
Zvláštní orgány kraje zřizuje;hejtman;rada kraje;ředitel krajského úřadu; A
Ze své činnosti a za plnění úkolů je hejtman odpovědný;ministrovi vnitra;radě kraje;zastupitelstvu kraje; C
Hejtmana kraje do funkce volí;zastupitelstvo kraje;kontrolní výbor zastupitelstva kraje;rada kraje; A
Radě kraje je vyhrazeno;volit hejtmana;rozhodovat v ostatních otázkách samostatné působnosti kraje, pokud si je zastupitelstvo vyhradilo;vydávat nařízení kraje; C
Schůze rady kraje jsou;veřejné;neveřejné;tajné; B
Rada kraje je usnášeníschopná,;je-li přítomna alespoň třetina členů rady kraje;je-li přítomna alespoň polovina členů rady kraje;je-li přítomna nadpoloviční většina všech členů rady kraje; C
Radu kraje volí a odvolává;Ministerstvo vnitra;hejtman kraje;zastupitelstvo kraje; C
Zastupitelstvo kraje se schází;podle potřeby, nejméně však třikrát do roka;podle potřeby, nejméně však jedenkrát za tři měsíce;podle potřeby; B
Zastupitelstvo kraje je usnášeníschopné,;je-li přítomna nadpoloviční většina všech členů zastupitelstva kraje;je-li přítomna alespoň polovina členů zastupitelstva kraje;je-li přítomna alespoň třetina členů zastupitelstva; A
Zastupitelstvo kraje je oprávněno vyhradit si z věcí patřících do samostatné působnosti kraje;veškeré pravomoci v samostatné působnosti kraje bez jakékoliv výjimky;další pravomoci v samostatné působnosti kraje s výjimkou pravomocí, které zákon vyhrazuje radě kraje;veškeré pravomoci v samostatné působnosti kraje bez ohledu na to, kterému orgánu svěřuje zákon příslušnou pravomoc, avšak vždy po předchozím souhlasu příslušného orgánu; B
O záležitostech, které jsou zákonem vyhrazeny do pravomoci zastupitelstva kraje, rozhoduje;pouze zastupitelstvo kraje, přičemž je oprávněno některou z těchto pravomocí svěřit radě kraje;pouze zastupitelstvo kraje, přičemž je oprávněno některou z těchto pravomocí svěřit některému z orgánů kraje;pouze zastupitelstvo kraje, přičemž žádnou z těchto pravomocí není oprávněno zastupitelstvo svěřit jinému orgánu kraje; C
Krajský úřad kontroluje výkon přenesené působnosti;jen u obcí s rozšířenou působností ve svém správním obvodu;pouze u obcí s pověřeným obecním úřadem ve svém správním obvodu;u obcí ve svém správním obvodu; C
Ředitel krajského úřadu;je vždy členem zastupitelstva kraje;se zúčastňuje jednání rady kraje s právem hlasovat;nesmí vykonávat funkce v politických stranách a v politických hnutích; C
Krajský úřad je;správním orgánem příslušným k přezkoumávání rozhodnutí vydaných orgány obcí ve správním řízení;nadřízeným správním úřadem vůči obcím;správním úřadem; A
Krajský úřad tvoří;ředitel krajského úřadu a zaměstnanci kraje zařazení do krajského úřadu;hejtman, náměstek (náměstci) hejtmana, ředitel krajského úřadu a zaměstnanci kraje zařazení do krajského úřadu;hejtman, ředitel krajského úřadu a zaměstnanci kraje zařazení do krajského úřadu; A
Je-li ředitel krajského úřadu odvolán z funkce bez předchozího souhlasu ministra vnitra,;je odvolání neplatné, jen pokud tak rozhodne soud na návrh ředitele krajského úřadu nebo ministra vnitra;je odvolání neplatné, jen pokud tak rozhodne Ministerstvo vnitra ve správním řízení na návrh ředitele krajského úřadu;je odvolání neplatné; C
Ředitele krajského úřadu jmenuje do funkce;hejtman po předchozím souhlasu ministra vnitra;ministr vnitra po předchozím souhlasu zastupitelstva kraje;zastupitelstvo kraje po předchozím souhlasu ministra vnitra; A
Za plnění úkolů svěřených krajskému úřadu v přenesené působnosti je ředitel krajského úřadu odpovědný;hejtmanovi;ministrovi vnitra;předsedovi vlády; A
Za plnění úkolů svěřených krajskému úřadu v samostatné působnosti je ředitel krajského úřadu odpovědný;zastupitelstvu kraje;hejtmanovi;radě kraje; B
Ředitel krajského úřadu;je zaměstnancem kraje;je zaměstnancem krajského úřadu;je zaměstnancem Ministerstva vnitra; A
Členy zvláštního orgánu kraje jmenuje;rada kraje;ředitel krajského úřadu;hejtman; C
Úkoly statutárního orgánu zaměstnavatele vůči zaměstnancům kraje, zařazeným v krajském úřadě, plní;hejtman;náměstek (náměstci) hejtmana;ředitel krajského úřadu; C
Krajský úřad je;orgánem zastupitelstva kraje;zvláštním orgánem kraje;orgánem kraje; C
Při výkonu přenesené působnosti jsou orgány kraje podřízeny;vládě;Ministerstvu vnitra;věcně příslušnému ministerstvu nebo jinému věcně příslušnému ústřednímu správnímu úřadu; C
Rozhodnutí vydaná ve správním řízení orgány krajů přezkoumává;Ministerstvo vnitra;Úřad vlády České republiky;věcně příslušné ministerstvo a jiné věcně příslušné ústřední správní úřady; C
Dozor nad výkonem přenesené působnosti kraje provádí;věcně příslušné ministerstvo a jiné věcně příslušné ústřední správní úřady;Ministerstvo vnitra;vláda České republiky; A
Výkon usnesení nebo rozhodnutí orgánu kraje v samostatné působnosti pozastaví;Ministerstvo vnitra;rada kraje;ředitel krajského úřadu; A
Ústavní soud je za podmínek stanovených zákonem oprávněn;zrušit právní předpis kraje;zrušit usnesení rady kraje, pokud je v rozporu s usnesením zastupitelstva kraje;zrušit usnesení zastupitelstva kraje v samostatné působnosti; A
Zastupitelstvo kraje zřizuje;vždy finanční výbor a kontrolní výbor;vždy finanční výbor, kontrolní výbor a výbor pro národnostní menšiny;vždy finanční výbor, kontrolní výbor a výbor pro výchovu, vzdělávání a zaměstnanost; C
Usnesení rady kraje v samostatné působnosti, které je v rozporu se zákonem, může zrušit;rada kraje, která ho vydala, a za podmínek daných zákonem též zastupitelstvo kraje a soud;jen rada kraje, která ho vydala nebo soud za podmínek stanovených zákonem;jen soud za podmínek daných zákonem; A
Orgány zastupitelstva kraje;je krajský úřad;jsou výbory zastupitelstva kraje;je rada kraje; B
Kontrolní výbor;kontroluje plnění usnesení zastupitelstva a rady kraje;provádí kontrolu hospodaření s majetkem a finančními prostředky kraje;provádí kontrolu hospodaření právnických osob a zařízení založených nebo zřízených krajem; A
Dozor nad výkonem přenesené působnosti obcí vykonává;hejtman;zvláštní orgán kraje zřízený hejtmanem;krajský úřad v přenesené působnosti; C
Obecní úřad je;orgánem zastupitelstva obce;zvláštním orgánem obce;orgánem obce; C
Orgánem obce není;obecní úřad;zastupitelstvo obce;dobrovolný svazek obcí; C
Městem se může stát obec, pokud tak na návrh obce stanoví předseda Poslanecké sněmovny po vyjádření vlády, a jež má alespoň;2 000 obyvatel;1 000 obyvatel;3 000 obyvatel; C
Mandát člena zastupitelstva obce vzniká;zvolením;složením slibu;písemným souhlasem; A
Komise jako poradní orgány zřizuje;rada kraje;ředitel krajského úřadu;hejtman; A
K orgánům obce současně náležejí tyto;zastupitelstvo obce, rada obce, starosta, obecní úřad, zvláštní orgány obce, komise, jestliže jí byl svěřen výkon přenesené působnosti, a obecní policie;zastupitelstvo obce, rada obce, starosta, obecní úřad, zvláštní orgány obce, komise, jestliže jí byl svěřen výkon přenesené působnosti, obecní policie, výbory zastupitelstva obce a komise rady obce;zastupitelstvo obce, rada obce, starosta, obecní úřad, zvláštní orgány obce a komise, jestliže jí byl svěřen výkon přenesené působnosti, a výbory zastupitelstva obce; A
Právní předpisy kraje se vyhlašují;ve Sbírce zákonů České republiky;ve Věstníku právních předpisů kraje;ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů; C
Stanoví-li zvláštní zákon, že určitá věc náleží do působnosti obce,;jedná se o výkon samostatné působnosti tehdy, rozhodne-li o tom zastupitelstvo obce;jedná se o výkon samostatné působnosti, avšak toto musí zákon vždy výslovně stanovit;jedná se o výkon samostatné působnosti tehdy, pokud zvláštní zákon nestanoví, že se jedná o výkon přenesené působnosti; C
Stanoví-li zvláštní zákon, že určitá záležitost náleží do působnosti obce,;jedná se o výkon přenesené působnosti tehdy, pokud to zvláštní zákon stanoví;jedná se o výkon přenesené působnosti tehdy, rozhodne-li o tom rada obce;jedná se o výkon přenesené působnosti tehdy, rozhodne-li o tom zastupitelstvo obce; A
O výkon přenesené působnosti obce se jedná,;pokud to nařízení vlády výslovně stanoví;pokud to zvláštní zákon stanoví;pokud o tom rozhodne rada obce; B
Občanem obce je;fyzická osoba – státní občan České republiky – hlášená v obci k trvalému pobytu;fyzická osoba – státní občan České republiky – hlášená v obci k trvalému pobytu, která dosáhla věku 18 let;fyzická osoba – státní občan České republiky – hlášená v obci k trvalému pobytu a další fyzická osoba, která v obci není hlášena k trvalému pobytu, ale vlastní na území obce nemovitost; A
Obce s rozšířenou působností;mohou vydávat nařízení i pouze pro některý ze správních obvodů obcí, které netvoří jejich správní obvod;nemohou vydávat nařízení pro svůj správní obvod;mohou v přenesené působnosti vydávat na základě zákona a v jeho mezích nařízení obce pro správní obvod stanovený zvláštním právním předpisem; C
Nařízení obce;vydává tajemník obecního úřadu v obcích, kde je tato funkce zřízena;vydává rada obce, příp. zastupitelstvo v obci, kde rada není zřízena;vydává rada obce, pokud si tuto pravomoc nevyhradí zastupitelstvo obce; B
Obecně závaznou vyhlášku obce vydává;tajemník obecního úřadu;rada obce;zastupitelstvo obce; C
